               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  30,            0.050128,            0.015414,           0.0090517,             0.60225,             0.51175,             0.53877,             0.25048,            0.046923,            0.009621,           0.0077073,            0.004258,            0.004258,            0.004258
                  31,            0.050189,            0.015376,           0.0090501,             0.60677,             0.51359,             0.54032,             0.25136,            0.046858,           0.0096134,           0.0076977,             0.00406,             0.00406,             0.00406
                  32,             0.04974,            0.015287,           0.0089979,             0.60238,             0.51574,             0.54146,             0.25195,            0.046803,           0.0096053,           0.0076949,            0.003862,            0.003862,            0.003862
                  33,            0.049493,            0.015206,           0.0085698,              0.6058,             0.51711,             0.54352,             0.25295,            0.046742,           0.0095949,           0.0076835,            0.003664,            0.003664,            0.003664
                  34,            0.049147,            0.015052,           0.0084686,             0.60359,             0.52009,             0.54565,             0.25381,            0.046676,           0.0095832,           0.0076632,            0.003466,            0.003466,            0.003466
                  35,            0.049155,            0.015118,           0.0083311,             0.60297,             0.52129,              0.5464,             0.25449,            0.046623,           0.0095734,           0.0076547,            0.003268,            0.003268,            0.003268
                  36,            0.048767,            0.014817,           0.0082481,              0.6051,             0.52013,             0.54807,             0.25572,            0.046575,           0.0095663,           0.0076584,             0.00307,             0.00307,             0.00307
                  37,            0.048651,             0.01495,           0.0080506,             0.60748,             0.52125,             0.54997,             0.25661,            0.046533,           0.0095587,           0.0076711,            0.002872,            0.002872,            0.002872
                  38,             0.04815,            0.014889,           0.0078392,             0.61003,              0.5198,             0.55077,             0.25684,            0.046501,           0.0095515,           0.0076788,            0.002674,            0.002674,            0.002674
                  39,            0.047851,            0.014657,            0.007639,             0.61207,             0.52033,             0.55171,             0.25705,            0.046471,           0.0095446,           0.0076864,            0.002476,            0.002476,            0.002476
                  40,            0.047472,             0.01487,           0.0075498,             0.60986,             0.52043,             0.55236,             0.25801,            0.046436,           0.0095379,           0.0076997,            0.002278,            0.002278,            0.002278
                  41,            0.047313,            0.014775,           0.0072441,             0.60727,              0.5226,             0.55388,             0.25887,            0.046404,           0.0095303,           0.0077152,             0.00208,             0.00208,             0.00208
                  42,            0.046977,            0.014697,           0.0070972,             0.61011,             0.52298,             0.55467,              0.2595,            0.046375,           0.0095222,           0.0077315,            0.001882,            0.001882,            0.001882
                  43,            0.046457,            0.014786,           0.0066305,             0.60995,             0.52503,              0.5549,              0.2603,            0.046342,           0.0095141,           0.0077516,            0.001684,            0.001684,            0.001684
                  44,            0.046152,            0.014481,           0.0065643,             0.61194,             0.52355,             0.55562,              0.2608,            0.046309,           0.0095062,           0.0077727,            0.001486,            0.001486,            0.001486
                  45,            0.045984,            0.014599,           0.0064729,             0.61035,             0.52526,             0.55607,             0.26125,            0.046283,           0.0094991,           0.0077864,            0.001288,            0.001288,            0.001288
                  46,            0.045432,            0.014298,           0.0062164,             0.60888,             0.52769,             0.55668,             0.26195,            0.046256,           0.0094914,           0.0078064,             0.00109,             0.00109,             0.00109
                  47,            0.045186,            0.014374,           0.0060233,             0.61012,             0.52868,             0.55711,             0.26197,            0.046235,           0.0094835,           0.0078274,            0.000892,            0.000892,            0.000892
                  48,            0.044762,            0.014313,           0.0057907,               0.611,             0.52818,              0.5574,             0.26238,            0.046219,           0.0094765,           0.0078529,            0.000694,            0.000694,            0.000694
                  49,            0.044217,            0.014093,           0.0055563,             0.61043,             0.52865,             0.55847,             0.26316,            0.046202,           0.0094698,           0.0078818,            0.000496,            0.000496,            0.000496
